key,doi,title,source_a,source_b,verified_on,status,notes
MaddenOjiambo2024,10.3389/fhort.2024.1423462,The value of generalized linear mixed models for data analysis in the plant sciences,"Frontiers in Horticulture, version of record",DOAJ article record,2026-08-12,verified,"Authors, year, journal, volume/article number and DOI agree."
ShimizuEtAl2025,10.4025/actasciagron.v47i1.73889,AgroR: An R package and a Shiny interface for agricultural experiment analysis,"Acta Scientiarum. Agronomy, version of record",CRAN AgroR package record/citation,2026-08-12,verified,"Authors, year, volume/issue, article number and DOI agree."
ArchontoulisMiguez2015,10.2134/agronj2012.0506,Nonlinear Regression Models and Applications in Agricultural Research,"Agronomy Journal (Wiley), version of record",Crossref/DOI metadata,2026-08-12,verified,"Current publisher/DOI metadata gives 2015, 107(2), 786-798. Older secondary copies may show legacy 2013 metadata; bibliography follows current version-of-record metadata."
BatesEtAl2015,10.18637/jss.v067.i01,Fitting Linear Mixed-Effects Models Using lme4,"Journal of Statistical Software, version of record",CRAN lme4 citation/package documentation,2026-08-12,verified,"Authors, 2015, 67(1), 1-48 and DOI agree."
BrooksEtAl2017,10.32614/RJ-2017-066,glmmTMB Balances Speed and Flexibility Among Packages for Zero-inflated Generalized Linear Mixed Modeling,"The R Journal, version of record",ETH Zurich Research Collection,2026-08-12,verified,"Authors, 2017, 9(2), 378-400 and DOI agree."
RigbyStasinopoulos2005,10.1111/j.1467-9876.2005.00510.x,"Generalized Additive Models for Location, Scale and Shape","Oxford Academic / JRSS Series C, version of record",Wiley/Crossref DOI metadata,2026-08-12,verified,"Authors, 2005, 54(3), 507-554 and DOI agree."
StasinopoulosEtAl2018,10.1177/1471082X18759144,GAMLSS: A distributional regression approach,"SAGE Statistical Modelling, version of record",London Metropolitan University repository,2026-08-12,verified,"Authors, 2018, 18(3-4), 248-273 and DOI agree."
MerderEtAl2026,10.1038/s43586-026-00498-z,"Distributional regression using generalized additive models for location, scale and shape","Nature Reviews Methods Primers, version of record",Crossref Crossmark record,2026-08-12,verified,"Authors, 2026, volume 6, article 49 and DOI agree."
Yee2010,10.18637/jss.v032.i10,The VGAM Package for Categorical Data Analysis,"Journal of Statistical Software, version of record",CRAN VGAM citation information / RePEc record,2026-08-12,verified,"Author, 2010, 32(10), 1-34 and DOI agree."
Yee2015,10.1007/978-1-4939-2818-7,Vector Generalized Linear and Additive Models: With an Implementation in R,Springer book record,CRAN VGAM citation information,2026-08-12,verified,"Author, title, 2015 publication and DOI agree."
CribariNetoZeileis2010,10.18637/jss.v034.i02,Beta Regression in R,"Journal of Statistical Software, version of record",RePEc/IDEAS JSS record,2026-08-12,verified,"Authors, 2010, 34(2), 1-24 and DOI agree."
Lenth2016,10.18637/jss.v069.i01,Least-Squares Means: The R Package lsmeans,"Journal of Statistical Software, version of record",CRAN lsmeans citation information,2026-08-12,verified,"Author, 2016, 69(1), 1-33 and DOI agree. lsmeans is the predecessor codebase of emmeans."
ArelBundockEtAl2024,10.18637/jss.v111.i09,How to Interpret Statistical Models Using marginaleffects for R and Python,"Journal of Statistical Software, version of record",Official marginaleffects citation page,2026-08-12,verified,"Authors, 2024, 111(9), 1-32 and DOI agree."
LudeckeEtAl2021,10.21105/joss.03139,"performance: An R Package for Assessment, Comparison and Testing of Statistical Models","Journal of Open Source Software, version of record",CRAN performance citation/package documentation,2026-08-12,verified,"Authors, 2021, 6(60), article 3139 and DOI agree."
PujolRigolEtAl2025,10.1002/wics.70025,A Systematic Review and Comparative Study of R Packages for Ordinal Response Regression Models,"Wiley/WIREs Computational Statistics, version of record",UPC institutional repository / Zenodo replication record,2026-08-12,verified,"Volume 17(2), e70025. Publisher page links a 2026 correction affecting Table 4 entries for GLMcat and brms; the correction should be consulted when interpreting package-comparison details."
Buerkner2017,10.18637/jss.v080.i01,brms: An R Package for Bayesian Multilevel Models Using Stan,"Journal of Statistical Software, version of record",CRAN brms official citation/package record,2026-08-12,verified,Core peer-reviewed software reference for brms.
MoralEtAl2017,10.18637/jss.v081.i10,Half-Normal Plots and Overdispersed Models in R: The hnp Package,"Journal of Statistical Software, version of record",CRAN hnp official citation/package record,2026-08-12,verified,Diagnostic reference particularly relevant to count and proportion models.
Wood2025,10.1146/annurev-statistics-112723-034249,Generalized Additive Models,"Annual Review of Statistics and Its Application, version of record",University of Edinburgh Research Explorer / CRAN mgcv documentation,2026-08-12,verified,Current review of GAM methodology; CRAN mgcv cites this overview.
