scenario_id,experiment,dgp,n,blocks,effect,dispersion,zero_probability,note
A_count_0001,A_count,poisson,16,4,0,0.5,0,
A_count_0002,A_count,poisson,16,4,0,1.5,0,
A_count_0003,A_count,poisson,16,4,0.35,0.5,0,
A_count_0004,A_count,poisson,16,4,0.35,1.5,0,
A_count_0005,A_count,poisson,32,8,0,0.5,0,
A_count_0006,A_count,poisson,32,8,0,1.5,0,
A_count_0007,A_count,poisson,32,8,0.35,0.5,0,
A_count_0008,A_count,poisson,32,8,0.35,1.5,0,
A_count_0009,A_count,nb1,16,4,0,0.5,0,
A_count_0010,A_count,nb1,16,4,0,1.5,0,
A_count_0011,A_count,nb1,16,4,0.35,0.5,0,
A_count_0012,A_count,nb1,16,4,0.35,1.5,0,
A_count_0013,A_count,nb1,32,8,0,0.5,0,
A_count_0014,A_count,nb1,32,8,0,1.5,0,
A_count_0015,A_count,nb1,32,8,0.35,0.5,0,
A_count_0016,A_count,nb1,32,8,0.35,1.5,0,
A_count_0017,A_count,nb2,16,4,0,0.5,0,
A_count_0018,A_count,nb2,16,4,0,1.5,0,
A_count_0019,A_count,nb2,16,4,0.35,0.5,0,
A_count_0020,A_count,nb2,16,4,0.35,1.5,0,
A_count_0021,A_count,nb2,32,8,0,0.5,0,
A_count_0022,A_count,nb2,32,8,0,1.5,0,
A_count_0023,A_count,nb2,32,8,0.35,0.5,0,
A_count_0024,A_count,nb2,32,8,0.35,1.5,0,
A_count_0025,A_count,zip,16,4,0,0.5,0,
A_count_0026,A_count,zip,16,4,0,0.5,0.25,
A_count_0027,A_count,zip,16,4,0,1.5,0,
A_count_0028,A_count,zip,16,4,0,1.5,0.25,
A_count_0029,A_count,zip,16,4,0.35,0.5,0,
A_count_0030,A_count,zip,16,4,0.35,0.5,0.25,
A_count_0031,A_count,zip,16,4,0.35,1.5,0,
A_count_0032,A_count,zip,16,4,0.35,1.5,0.25,
A_count_0033,A_count,zip,32,8,0,0.5,0,
A_count_0034,A_count,zip,32,8,0,0.5,0.25,
A_count_0035,A_count,zip,32,8,0,1.5,0,
A_count_0036,A_count,zip,32,8,0,1.5,0.25,
A_count_0037,A_count,zip,32,8,0.35,0.5,0,
